dataset,method,n_components,last,policy,mean,std,time,xcols,xcols_reduced,rank,all_results
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,30,Random,0.49575471698113205,0.018504759665974552,0.1207379937171936,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,30,exploit,0.49575471698113205,0.018504759665974552,0.1922260880470276,10,10,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,30,Random,0.49764150943396224,0.010280422036652529,0.24456558227539063,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with Kmeans Discretization,5.0,30,explore,0.5,0.0,0.3656179070472717,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,30,FOCUS,0.5,0.0,0.12226214408874511,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,30,FOCUS,0.5,0.0,0.3029587507247925,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,30,explore,0.4933962264150943,0.02069029452779368,0.11347754001617431,10,5,0,"[0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,30,FOCUS,0.5,0.0,0.4341545104980469,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,30,Random,0.5,0.0,0.37966554164886473,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,30,Random,0.5,0.0,0.18419504165649414,10,10,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with Kmeans Discretization,5.0,30,exploit,0.5,0.0,0.3439732909202576,10,6,1,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,30,exploit,0.49764150943396224,0.01028042203665253,0.2579726934432983,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Feature Elimination (5),5.0,30,exploit,0.5,0.0,0.22840145826339722,10,6,2,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,FAMD (5),5.0,30,FOCUS,0.49528301886792453,0.014150943396226412,0.39909796714782714,10,5,0,"[0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with Kmeans Discretization,5.0,30,exploit,0.5,0.0,0.3363368511199951,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with Kmeans Discretization,5.0,30,FOCUS,0.5,0.0,0.3653808951377869,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with Kmeans Discretization,5.0,30,Random,0.5,0.0,0.37424800395965574,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,30,exploit,0.5,0.0,0.10059089660644531,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,30,explore,0.5,0.0,0.40054395198822024,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,30,explore,0.4933962264150943,0.02069029452779368,0.14064970016479492,10,10,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,30,FOCUS,0.5,0.0,0.1805502653121948,10,10,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with Kmeans Discretization,5.0,30,Random,0.5,0.0,0.35774720907211305,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
